word	freq	romanized
tháng	49848	thang
tiền	49847	tien
lắm	49846	lam
sống	49845	song
dùng	49844	dung
hoặc	49843	hoac
xe	49842	xe
ăn	49841	an
bố	49840	bo
hết	49839	het
đầu	49838	dau
ngoài	49837	ngoai
chị	49836	chi
hiểu	49835	hieu
số	49834	so
bọn	49833	bon
Việt Nam	49832	vietnam
mất	49831	mat
luôn	49830	luon
hàng	49829	hang
thêm	49828	them
thích	49827	thich
bộ	49826	bo
bé	49825	be
giết	49824	giet
khỏi	49823	khoi
xin	49822	xin
sử dụng	49821	sudung
mang	49820	mang
tay	49819	tay
nhận	49818	nhan
phòng	49817	phong
học	49816	hoc
xin lỗi	49815	xinloi
vừa	49814	vua
gần	49813	gan
trường	49812	truong
xuống	49811	xuong
chiếc	49810	chiec
cứ	49809	cu
ngài	49808	ngai
nay	49807	nay
yêu	49806	yeu
nhé	49805	nhe
mấy	49804	may
cuộc	49803	cuoc
chắc	49802	chac
hỏi	49801	hoi
bỏ	49800	bo
chào	49799	chao
loại	49798	loai
bao giờ	49797	baogio
hả	49796	ha
tổ chức	49795	tochuc
nhanh	49794	nhanh
giống	49793	giong
gia đình	49792	giadinh
nhớ	49791	nho
chỗ	49790	cho
nhỏ	49789	nho
chẳng	49788	chang
tiếng	49787	tieng
bây giờ	49786	baygio
vấn đề	49785	vande
ngươi	49784	nguoi
xảy	49783	xay
làm việc	49782	lamviec
thế giới	49781	thegioi
công ty	49780	congty
tạo	49779	tao
lời	49778	loi
phát triển	49777	phattrien
giữ	49776	giu
thực hiện	49775	thuchien
trẻ	49774	tre
cha	49773	cha
đủ	49772	du
quay	49771	quay
vụ	49770	vu
đẹp	49769	dep
câu	49768	cau
dưới	49767	duoi
thằng	49766	thang
hoạt động	49765	hoatdong
tỉnh	49764	tinh
tự	49763	tu
giữa	49762	giua
chơi	49761	choi
mua	49760	mua
vâng	49759	vang
thưa	49758	thua
kẻ	49757	ke
đồng	49756	dong
vài	49755	vai
bài	49754	bai
phần	49753	phan
tăng	49752	tang
tuổi	49751	tuoi
giá	49750	gia
cảm ơn	49749	camon
xây dựng	49748	xaydung
đồ	49747	do
khoảng	49746	khoang
khiến	49745	khien
bán	49744	ban
sáng	49743	sang
phía	49742	phia
điểm	49741	diem
ý	49740	y
đầu tiên	49739	dautien
chạy	49738	chay
thành	49737	thanh
bởi	49736	boi
bắt đầu	49735	batdau
gây	49734	gay
một số	49733	motso
đặc biệt	49732	dacbiet
kia	49731	kia
bắt	49730	bat
đối với	49729	doivoi
chú	49728	chu
thông tin	49727	thongtin
thành phố	49726	thanhpho
máy	49725	may
ơi	49724	oi
thường	49723	thuong
gái	49722	gai
khá	49721	kha
quan trọng	49720	quantrong
dân	49719	dan
tối	49718	toi
ổn	49717	on
mỹ	49716	my
chương trình	49715	chuongtrinh
sản phẩm	49714	sanpham
thế nào	49713	thenao
đứng	49712	dung
nói chuyện	49711	noichuyen
đứa	49710	dua
giảm	49709	giam
mặt	49708	mat
buổi	49707	buoi
rõ	49706	ro
bệnh	49705	benh
đặt	49704	dat
tính	49703	tinh
tiếp tục	49702	tieptuc
ừ	49701	u
đêm	49700	dem
vui	49699	vui
đầu tư	49698	dautu
kể	49697	ke
chờ	49696	cho
ngủ	49695	ngu
viết	49694	viet
tham gia	49693	thamgia
thi	49692	thi
ngồi	49691	ngoi
uống	49690	uong
chọn	49689	chon
tuy nhiên	49688	tuynhien
đội	49687	doi
thuốc	49686	thuoc
bảo	49685	bao
đạt	49684	dat
hệ thống	49683	hethong
bảo vệ	49682	baove
đánh	49681	danh
cây	49680	cay
thay đổi	49679	thaydoi
đáng	49678	dang
trở thành	49677	trothanh
da	49676	da
đất	49675	dat
chúa	49674	chua
khả năng	49673	khanang
cấp	49672	cap
màu	49671	mau
tuần	49670	tuan
lâu	49669	lau
công việc	49668	congviec
cám ơn	49667	camon
thị trường	49666	thitruong
mức	49665	muc
ảnh	49664	anh
doanh nghiệp	49663	doanhnghiep
phụ nữ	49662	phunu
quan tâm	49661	quantam
quyết định	49660	quyetdinh
khó	49659	kho
bước	49658	buoc
khu	49657	khu
bắn	49656	ban
kiểm tra	49655	kiemtra
phút	49654	phut
xa	49653	xa
nằm	49652	nam
trả	49651	tra
sợ	49650	so
thuộc	49649	thuoc
kinh tế	49648	kinhte
sản xuất	49647	sanxuat
vợ	49646	vo
ít	49645	it
hôm nay	49644	homnay
xong	49643	xong
cảnh sát	49642	canhsat
chân	49641	chan
kế hoạch	49640	kehoach
nghiên cứu	49639	nghiencuu
mắt	49638	mat
an toàn	49637	antoan
cố	49636	co
quản lý	49635	quanly
chút	49634	chut
so	49633	so
cuối cùng	49632	cuoicung
cổ	49631	co
dù	49630	du
biển	49629	bien
dành	49628	danh
ôi	49627	oi
cuộc sống	49626	cuocsong
mở	49625	mo
món	49624	mon
dừng	49623	dung
thực sự	49622	thucsu
phim	49621	phim
cuối	49620	cuoi
lo	49619	lo
Hà Nội	49618	hanoi
xã hội	49617	xahoi
ngành	49616	nganh
con người	49615	connguoi
chịu	49614	chiu
riêng	49613	rieng
lớp	49612	lop
yêu cầu	49611	yeucau
nhóm	49610	nhom
gửi	49609	gui
huyện	49608	huyen
vàng	49607	vang
càng	49606	cang
coi	49605	coi
ạ	49604	a
phép	49603	phep
cứu	49602	cuu
chắc chắn	49601	chacchan
mùa	49600	mua
nhỉ	49599	nhi
đọc	49598	doc
khó khăn	49597	khokhan
vùng	49596	vung
vị	49595	vi
cơ hội	49594	cohoi
hoàn toàn	49593	hoantoan
diễn	49592	dien
dự án	49591	duan
bất cứ	49590	batcu
khu vực	49589	khuvuc
kết quả	49588	ketqua
sớm	49587	som
thầy	49586	thay
báo	49585	bao
tránh	49584	tranh
tàu	49583	tau
thử	49582	thu
bác sĩ	49581	bacsi
trông	49580	trong
người ta	49579	nguoita
lòng	49578	long
thiết kế	49577	thietke
c	49576	c
cảm thấy	49575	camthay
quên	49574	quen
chủ	49573	chu
công tác	49572	congtac
chống	49571	chong
ban	49570	ban
trung tâm	49569	trungtam
tuyệt	49568	tuyet
khách hàng	49567	khachhang
dài	49566	dai
nguồn	49565	nguon
điện thoại	49564	dienthoai
trở lại	49563	trolai
chuyển	49562	chuyen
sẵn sàng	49561	sansang
sang	49560	sang
hướng	49559	huong
sắp	49558	sap
xã	49557	xa
chuẩn bị	49556	chuanbi
dịch vụ	49555	dichvu
hiệu quả	49554	hieuqua
đại học	49553	daihoc
độ	49552	do
vòng	49551	vong
máu	49550	mau
hơi	49549	hoi
dễ	49548	de
bay	49547	bay
vốn	49546	von
đời	49545	doi
sách	49544	sach
kiểu	49543	kieu
súng	49542	sung
hiện nay	49541	hiennay
khoa học	49540	khoahoc
khách	49539	khach
trời	49538	troi
chất lượng	49537	chatluong
thành công	49536	thanhcong
hỗ trợ	49534	hotro
t	49533	t
chồng	49532	chong
điện	49531	dien
liên quan	49530	lienquan
trả lời	49529	traloi
đợi	49528	doi
nhờ	49527	nho
đàn ông	49526	danong
lựa chọn	49525	luachon
duy nhất	49524	duynhat
chung	49523	chung
đầy	49522	day
biến	49521	bien
làm ơn	49520	lamon
gã	49519	ga
mời	49518	moi
bởi vì	49517	boivi
quyền	49516	quyen
một cách	49515	motcach
giải	49514	giai
đá	49513	da
con trai	49512	contrai
một chút	49511	motchut
học sinh	49510	hocsinh
cung cấp	49509	cungcap
vị trí	49508	vitri
đau	49507	dau
cạnh	49506	canh
mạnh	49505	manh
sinh viên	49504	sinhvien
vẻ	49503	ve
a	49502	a
khoá	49501	khoa
mạng	49500	mang
xin chào	49500	xinchao
sinh	49499	sinh
đem	49498	dem
kết thúc	49497	ketthuc
định	49496	dinh
quốc gia	49495	quocgia
bàn	49494	ban
chiều	49493	chieu
nhiệm vụ	49492	nhiemvu
công nghệ	49491	congnghe
dẫn	49490	dan
kinh doanh	49489	kinhdoanh
con gái	49488	congai
lý do	49487	lydo
hiện	49486	hien
cơ sở	49485	coso
bao nhiêu	49484	baonhieu
thật sự	49483	thatsu
trường hợp	49482	truonghop
bóng	49481	bong
hội	49480	hoi
hoa	49479	hoa
quy định	49478	quydinh
to	49477	to
cửa	49476	cua
nàng	49475	nang
kiếm	49474	kiem
đơn vị	49473	donvi
ồ	49472	o
văn hoá	49471	vanhoa
Trung Quốc	49470	trungquoc
cơ	49469	co
xuất hiện	49468	xuathien
hình	49467	hinh
suốt	49466	suot
giỏi	49465	gioi
cơ quan	49464	coquan
thậm chí	49463	thamchi
rời	49462	roi
thiếu	49461	thieu
đánh giá	49460	danhgia
ngân hàng	49459	nganhang
quả	49458	qua
bức	49457	buc
dòng	49456	dong
hát	49455	hat
vượt	49454	vuot
ngon	49453	ngon
dạy	49452	day
du lịch	49451	dulich
tuyệt vời	49450	tuyetvoi
trận	49449	tran
cá	49448	ca
quân	49447	quan
giải quyết	49446	giaiquyet
đào tạo	49445	daotao
toàn	49444	toan
chuyến	49443	chuyen
lễ	49442	le
cười	49441	cuoi
quan hệ	49440	quanhe
nhằm	49439	nham
hề	49438	he
cũ	49437	cu
rượu	49436	ruou
thiết bị	49435	thietbi
mặc	49434	mac
m	49433	m
giáo dục	49432	giaoduc
kìa	49431	kia
đông	49430	dong
ảnh hưởng	49429	anhhuong
chính phủ	49428	chinhphu
xử lý	49427	xuly
ngôi	49426	ngoi
quá trình	49425	quatrinh
phát hiện	49424	phathien
nâng	49423	nang
thu	49422	thu
môi trường	49421	moitruong
điều kiện	49420	dieukien
giá trị	49419	giatri
sông	49418	song
dậy	49417	day
địa phương	49416	diaphuong
quý	49415	quy
trở	49414	tro
hình ảnh	49413	hinhanh
đơn giản	49412	dongian
báo cáo	49411	baocao
cố gắng	49410	cogang
bản thân	49409	banthan
nổi	49408	noi
quốc tế	49407	quocte
bác	49406	bac
chàng	49405	chang
xanh	49404	xanh
trách nhiệm	49403	trachnhiem
máy bay	49402	maybay
tấn công	49401	tancong
phù hợp	49400	phuhop
tập trung	49399	taptrung
hy vọng	49398	hyvong
chính xác	49397	chinhxac
tất nhiên	49396	tatnhien
thoát	49395	thoat
chất	49394	chat
bản	49393	ban
thấp	49392	thap
lỗi	49391	loi
áo	49390	ao
bữa	49389	bua
sai	49388	sai
đảm bảo	49387	dambao
trắng	49386	trang
ổng	49385	ong
tiếp	49384	tiep
nhà nước	49383	nhanuoc
mối	49382	moi
tưởng	49381	tuong
cảm giác	49380	camgiac
chó	49379	cho
sếp	49378	sep
thực tế	49377	thucte
lao động	49376	laodong
đóng	49375	dong
lãnh đạo	49374	lanhdao
tấm	49373	tam
cá nhân	49372	canhan
cán bộ	49371	canbo
câu chuyện	49370	cauchuyen
mục tiêu	49369	muctieu
loài	49368	loai
nền	49367	nen
thắng	49366	thang
phục vụ	49365	phucvu
ư	49364	u
hạnh phúc	49363	hanhphuc
mau	49362	mau
mẫu	49361	mau
điên	49360	dien
nội dung	49359	noidung
nhân viên	49358	nhanvien
nữ	49357	nu
chia sẻ	49356	chiase
thịt	49355	thit
nặng	49354	nang
bình thường	49353	binhthuong
vua	49352	vua
giới thiệu	49351	gioithieu
nhu cầu	49350	nhucau
cắt	49349	cat
kỳ	49348	ky
đỏ	49347	do
nhân dân	49346	nhandan
thành viên	49345	thanhvien
niềm	49344	niem
rõ ràng	49343	rorang
miền	49342	mien
giao	49341	giao
pháp	49340	phap
game	49339	game
cơ thể	49338	cothe
chết tiệt	49337	chettiet
luật	49336	luat
chúc	49335	chuc
tình trạng	49334	tinhtrang
bệnh viện	49333	benhvien
đoàn	49332	doan
thư	49331	thu
thời điểm	49330	thoidiem
hứa	49329	hua
may mắn	49328	mayman
trang	49327	trang
trở nên	49326	tronen
sở	49325	so
tình yêu	49324	tinhyeu
toàn bộ	49323	toanbo
trai	49322	trai
lũ	49321	lu
giấy	49320	giay
vô	49319	vo
nghề	49318	nghe
dễ dàng	49317	dedang
thuê	49316	thue
tìm kiếm	49315	timkiem
tóc	49314	toc
tặng	49313	tang
trái	49312	trai
nguy hiểm	49311	nguyhiem
cuốn	49310	cuon
sự thật	49309	suthat
bánh	49308	banh
trải	49307	trai
cánh	49306	canh
quà	49305	qua
chăm sóc	49304	chamsoc
lịch sử	49303	lichsu
văn phòng	49302	vanphong
nuôi	49301	nuoi
hồ sơ	49300	hoso
căn	49299	can
nghỉ	49298	nghi
thân	49297	than
rừng	49296	rung
nhạc	49295	nhac
lượng	49294	luong
xấu	49293	xau
việt	49292	viet
chú ý	49291	chuy
trực tiếp	49290	tructiep
lá	49289	la
thay	49288	thay
tệ	49287	te
đen	49286	den
hãng	49285	hang
viên	49284	vien
phát	49283	phat
trốn	49282	tron
tim	49281	tim
thăm	49280	tham
hành động	49279	hanhdong
núi	49278	nui
tự nhiên	49277	tunhien
dám	49276	dam
cầu	49275	cau
làng	49274	lang
nổi tiếng	49273	noitieng
chụp	49272	chup
tụi	49271	tui
thời	49270	thoi
nhảy	49269	nhay
lĩnh vực	49268	linhvuc
sâu	49267	sau
quận	49266	quan
kỹ thuật	49265	kythuat
kinh nghiệm	49264	kinhnghiem
kiểm soát	49263	kiemsoat
máy tính	49262	maytinh
y	49261	y
hẳn	49260	han
đoán	49259	doan
tương lai	49258	tuonglai
hôm	49257	hom
đồng ý	49256	dongy
thể hiện	49255	thehien
triển khai	49254	trienkhai
nhóc	49253	nhoc
hoàn thành	49252	hoanthanh
yên	49251	yen
tổng thống	49250	tongthong
in	49249	in
sức khoẻ	49248	suckhoe
nga	49247	nga
ý kiến	49246	ykien
suy nghĩ	49245	suynghi
quái	49244	quai
hoà	49243	hoa
tự do	49242	tudo
cần thiết	49241	canthiet
đồng thời	49240	dongthoi
chữ	49239	chu
cẩn thận	49238	canthan
điều trị	49237	dieutri
ghi	49236	ghi
đề nghị	49235	denghi
đất nước	49234	datnuoc
tầng	49233	tang
chả	49232	cha
nè	49231	ne
tập	49230	tap
ứng dụng	49229	ungdung
lối	49228	loi
nóng	49227	nong
rộng	49226	rong
chủ tịch	49225	chutich
mong	49224	mong
cuộc đời	49223	cuocdoi
tiếc	49222	tiec
nam	49221	nam
cầm	49220	cam
xác định	49219	xacdinh
dây	49218	day
khắp	49217	khap
quán	49216	quan
bệnh nhân	49215	benhnhan
băng	49214	bang
đức	49213	duc
điều tra	49212	dieutra
chính sách	49211	chinhsach
hiện tại	49210	hientai
giúp đỡ	49209	giupdo
theo dõi	49208	theodoi
bình tĩnh	49207	binhtinh
hồi	49206	hoi
nợ	49205	no
khách sạn	49204	khachsan
đối tượng	49203	doituong
gồm	49202	gom
bảng	49201	bang
thường xuyên	49200	thuongxuyen
tạm biệt	49199	tambiet
cơn	49198	con
đảo	49197	dao
kéo	49196	keo
tiến hành	49195	tienhanh
tài chính	49194	taichinh
đổi	49193	doi
vé	49192	ve
chiến đấu	49191	chiendau
thần	49190	than
đám	49189	dam
lo lắng	49188	lolang
giải thích	49187	giaithich
mặc dù	49186	macdu
i	49185	i
thông qua	49184	thongqua
ý nghĩa	49183	ynghia
sở hữu	49182	sohuu
công trình	49181	congtrinh
thông báo	49180	thongbao
đoạn	49179	doan
giai đoạn	49178	giaidoan
hướng dẫn	49177	huongdan
toà	49176	toa
đăng ký	49175	dangky
v	49174	v
nước ngoài	49173	nuocngoai
hộ	49172	ho
chiếm	49171	chiem
phá	49170	pha
sức	49169	suc
không gian	49168	khonggian
phương pháp	49167	phuongphap
tiến	49166	tien
nắm	49165	nam
lính	49164	linh
chấp nhận	49163	chapnhan
lệnh	49162	lenh
vũ khí	49161	vukhi
già	49160	gia
thả	49159	tha
khoan	49158	khoan
chính thức	49157	chinhthuc
lạnh	49156	lanh
thú vị	49155	thuvi
đại diện	49154	daidien
cụ thể	49153	cuthe
tình hình	49152	tinhhinh
anh em	49151	anhem
sạch	49150	sach
nỗi	49149	noi
the	49148	the
tiệc	49147	tiec
hấp dẫn	49146	hapdan
nhân	49145	nhan
lực lượng	49144	lucluong
phụ	49143	phu
bao	49142	bao
lửa	49141	lua
nguyên nhân	49140	nguyennhan
lão	49139	lao
buồn	49137	buon
hợp tác	49136	hoptac
bình	49135	binh
dựa	49134	dua
cưới	49133	cuoi
tầm	49132	tam
mùi	49131	mui
bí mật	49130	bimat
tinh thần	49129	tinhthan
ngựa	49128	ngua
môn	49127	mon
tình	49126	tinh
vô cùng	49125	vocung
nghệ thuật	49124	nghethuat
may	49123	may
công	49122	cong
đổ	49121	do
túi	49120	tui
tiếp theo	49119	tieptheo
lạ	49118	la
tường	49117	tuong
quanh	49116	quanh
tranh	49115	tranh
tác dụng	49114	tacdung
đầy đủ	49113	daydu
chia	49112	chia
rơi	49111	roi
dần	49110	dan
thông minh	49109	thongminh
khẳng định	49108	khangdinh
dầu	49107	dau
công nghiệp	49106	congnghiep
cảnh	49105	canh
bao gồm	49104	baogom
ngừng	49103	ngung
kết hợp	49102	kethop
ca	49101	ca
đón	49100	don
cháy	49099	chay
giao thông	49098	giaothong
mưa	49097	mua
lập	49096	lap
đô	49095	do
họp	49094	hop
chuyên gia	49093	chuyengia
chi tiết	49092	chitiet
rút	49091	rut
diện tích	49090	dientich
danh sách	49089	danhsach
mơ	49088	mo
trò	49087	tro
ngày mai	49086	ngaymai
truyền thống	49085	truyenthong
trưởng	49084	truong
ấn tượng	49083	antuong
ghét	49082	ghet
chứa	49081	chua
sân	49080	san
nổ	49079	no
chi phí	49078	chiphi
bạn bè	49077	banbe
thương mại	49076	thuongmai
sức mạnh	49075	sucmanh
tồn tại	49074	tontai
hiện đại	49073	hiendai
nhắc	49072	nhac
nói dối	49071	noidoi
khoẻ	49070	khoe
tìm hiểu	49069	timhieu
dự	49068	du
bất kỳ	49067	batky
đùa	49066	dua
hẹn	49065	hen
y tế	49064	yte
chức năng	49063	chucnang
mục đích	49062	mucdich
quen	49061	quen
nhanh chóng	49060	nhanhchong
học tập	49059	hoctap
chính trị	49058	chinhtri
giả	49057	gia
thuế	49056	thue
gió	49055	gio
đảng	49054	dang
chiến thắng	49053	chienthang
áp dụng	49052	apdung
giải pháp	49051	giaiphap
vui vẻ	49050	vuive
việc làm	49049	vieclam
liệu	49048	lieu
tội	49047	toi
giới	49046	gioi
ổn định	49045	ondinh
bố mẹ	49044	bome
thẻ	49043	the
đằng	49042	dang
hạ	49041	ha
trừ	49040	tru
sự kiện	49039	sukien
cộng đồng	49038	congdong
bất ngờ	49037	batngo
năng lượng	49036	nangluong
thành lập	49035	thanhlap
chiến tranh	49034	chientranh
vai	49033	vai
chậm	49032	cham
số lượng	49031	soluong
thở	49030	tho
hội nghị	49029	hoinghi
có mặt	49028	comat
sữa	49027	sua
một vài	49026	motvai
dân tộc	49025	dantoc
đèn	49024	den
chế độ	49023	chedo
hút	49021	hut
mạnh mẽ	49020	manhme
đơn	49019	don
thoải mái	49018	thoaimai
khoản	49017	khoan
giáo viên	49016	giaovien
tốc độ	49015	tocdo
đạn	49014	dan
cướp	49013	cuop
thị trấn	49012	thitran
thực phẩm	49011	thucpham
thẳng	49010	thang
giám đốc	49009	giamdoc
khóc	49008	khoc
phần mềm	49007	phanmem
quân đội	49006	quandoi
an ninh	49005	anninh
nguyễn	49004	nguyen
vai trò	49003	vaitro
thức ăn	49002	thucan
viện	49001	vien
chào bạn	49000	chaoban
địa chỉ	49000	diachi
nạn nhân	48999	nannhan
di chuyển	48998	dichuyen
cơ bản	48997	coban
cục	48996	cuc
vì vậy	48995	vivay
bờ	48994	bo
hợp đồng	48993	hopdong
giành	48992	gianh
trồng	48991	trong
địa bàn	48990	diaban
màn hình	48989	manhinh
nét	48988	net
bắc	48987	bac
dạng	48986	dang
yếu tố	48985	yeuto
chặt	48984	chat
gà	48983	ga
khối	48982	khoi
đồng chí	48981	dongchi
Nhật Bản	48980	nhatban
án	48979	an
giường	48978	giuong
giọng	48977	giong
cưng	48976	cung
liên lạc	48975	lienlac
phố	48974	pho
cà phê	48973	caphe
nghèo	48972	ngheo
chim	48971	chim
gấp	48970	gap
miệng	48969	mieng
hệ	48968	he
phối hợp	48967	phoihop
thuyền	48966	thuyen
trẻ em	48965	treem
chủ yếu	48964	chuyeu
thu hút	48963	thuhut
b	48962	b
đáp ứng	48961	dapung
nhẹ	48960	nhe
tư vấn	48959	tuvan
hôn	48958	hon
chữa	48957	chua
đẩy	48956	day
dữ liệu	48955	dulieu
liền	48954	lien
cửa hàng	48953	cuahang
rắc rối	48952	racroi
pháp luật	48951	phapluat
ý tưởng	48950	ytuong
lưng	48949	lung
đuổi	48947	duoi
bom	48946	bom
ghế	48945	ghe
điều khiển	48944	dieukhien
vay	48943	vay
tắm	48942	tam
ha	48941	ha
hại	48940	hai
thoả thuận	48939	thoathuan
hoàn hảo	48938	hoanhao
hội đồng	48937	hoidong
mắc	48936	mac
giây	48935	giay
thương hiệu	48934	thuonghieu
gỗ	48933	go
phường	48932	phuong
không khí	48931	khongkhi
liên tục	48930	lientuc
bò	48929	bo
tuyến	48928	tuyen
trò chơi	48927	trochoi
tích cực	48926	tichcuc
đập	48925	dap
ly	48924	ly
căn hộ	48923	canho
tài sản	48922	taisan
vật	48921	vat
điều hành	48920	dieuhanh
vẽ	48919	ve
phiên bản	48918	phienban
kiến thức	48917	kienthuc
kính	48916	kinh
cổng	48915	cong
trao	48914	trao
công an	48913	congan
hồ	48912	ho
chợ	48911	cho
phong cách	48910	phongcach
hạn chế	48909	hanche
ánh sáng	48908	anhsang
công bố	48907	congbo
lái	48906	lai
xác	48905	xac
xung quanh	48904	xungquanh
mở rộng	48903	morong
hạt	48902	hat
sáng tạo	48901	sangtao
hình thức	48900	hinhthuc
nguyên	48899	nguyen
song	48898	song
tác phẩm	48897	tacpham
ủng hộ	48896	ungho
giao dịch	48895	giaodich
mũi	48894	mui
hết sức	48893	hetsuc
thanh	48892	thanh
chỉ đạo	48891	chidao
tỷ	48890	ty
mừng	48889	mung
mãi	48888	mai
tai nạn	48887	tainan
hộp	48886	hop
thanh niên	48885	thanhnien
dịp	48884	dip
góc	48883	goc
tài liệu	48882	tailieu
cân	48881	can
nhắn	48880	nhan
thể	48879	the
bao lâu	48878	baolau
tù	48877	tu
tin tưởng	48876	tintuong
chúc mừng	48875	chucmung
thí sinh	48874	thisinh
nửa	48873	nua
quảng cáo	48872	quangcao
dấu	48871	dau
kèm	48870	kem
tờ	48869	to
chi	48868	chi
ký	48867	ky
tỷ lệ	48866	tyle
quần áo	48865	quanao
xuất khẩu	48864	xuatkhau
tăng cường	48863	tangcuong
thua	48862	thua
trao đổi	48861	traodoi
tiết kiệm	48860	tietkiem
lẫn	48859	lan
phân	48858	phan
sai lầm	48857	sailam
não	48856	nao
bổ sung	48855	bosung
tắt	48854	tat
chỉ huy	48853	chihuy
e	48852	e
trái tim	48851	traitim
quê	48850	que
kết nối	48849	ketnoi
thất bại	48848	thatbai
khai thác	48847	khaithac
tập đoàn	48846	tapdoan
hè	48845	he
ngạc nhiên	48844	ngacnhien
mong muốn	48843	mongmuon
vết	48842	vet
chuyên nghiệp	48841	chuyennghiep
bãi	48840	bai
bụng	48839	bung
khô	48838	kho
ngắn	48837	ngan
chuẩn	48836	chuan
tốt nghiệp	48835	totnghiep
mô hình	48834	mohinh
rẻ	48833	re
tham dự	48832	thamdu
đôi khi	48831	doikhi
góp phần	48830	gopphan
chứng minh	48829	chungminh
thể thao	48828	thethao
sàn	48827	san
quỷ	48826	quy
phân tích	48825	phantich
lượt	48824	luot
cha mẹ	48823	chame
thơ	48822	tho
liên hệ	48821	lienhe
khán giả	48820	khangia
điện tử	48819	dientu
vệ sinh	48818	vesinh
nhân vật	48817	nhanvat
ngăn	48816	ngan
kéo dài	48815	keodai
bộ phận	48814	bophan
trưa	48813	trua
viêm	48812	viem
ví dụ	48811	vidu
tướng	48810	tuong
tiến sĩ	48809	tiensi
Hồ Chí Minh	48808	hochiminh
tuy	48807	tuy
dĩ nhiên	48806	dinhien
khí	48805	khi
bậc	48804	bac
xương	48803	xuong
chính quyền	48802	chinhquyen
dịch	48801	dich
chào anh	48800	chaoanh
chào chị	48800	chaochi
chuyên	48800	chuyen
quý khách	48799	quykhach
đồng hồ	48798	dongho
ước	48797	uoc
ung thư	48796	ungthu
vận động	48795	vandong
kém	48794	kem
trang bị	48793	trangbi
siêu	48792	sieu
tung	48791	tung
vườn	48790	vuon
luật sư	48789	luatsu
thủ tục	48788	thutuc
đống	48787	dong
buộc	48786	buoc
tấn	48785	tan
tình cảm	48784	tinhcam
khuyên	48783	khuyen
tương tự	48782	tuongtu
sửa	48781	sua
tốt đẹp	48780	totdep
lương	48779	luong
ngang	48778	ngang
nắng	48777	nang
chiến lược	48776	chienluoc
hôm qua	48775	homqua
quỹ	48774	quy
cơm	48773	com
ném	48772	nem
vỡ	48771	vo
xuất sắc	48770	xuatsac
mảnh	48769	manh
bếp	48768	bep
dấu hiệu	48767	dauhieu
muộn	48766	muon
nhà trường	48765	nhatruong
biện pháp	48764	bienphap
thanh tra	48763	thanhtra
điều chỉnh	48762	dieuchinh
