word	freq	pinyin
水	299699	shui
名	299698	ming
见	299698	xian
被	299697	bi
真	299697	zhen
论	299696	lun
处	299695	chu
什	299695	shi
它	299694	yi
走	299694	zou
义	299693	yi
各	299692	ge
方	299691	feng
把	299691	pa
入	299691	ru
或	299691	yu
几	299690	ji
口	299689	kou
己	299689	qi
认	299688	ren
身	299687	juan
条	299687	tiao
果	299686	luo
平	299686	ping
系	299685	xi
气	299684	qi
斯	299683	shi
题	299683	ti
活	299682	huo
月	299682	ru
尔	299681	er
合	299680	ge
更	299680	geng
别	299679	bie
打	299678	da
女	299677	nv
变	299676	bian
内	299676	na
信	299675	shen
四	299675	si
神	299674	shen
总	299673	zong
何	299672	he
电	299671	dian
给	299671	ji
数	299670	shu
安	299669	an
位	299669	li
将	299669	qiang
少	299668	shao
次	299668	zi
报	299667	bao
度	299667	duo
才	299666	cai
结	299665	jie
反	299664	fan
受	299663	shou
目	299662	mu
太	299661	tai
重	299661	tong
量	299660	liang
再	299659	zai
感	299658	gan
建	299657	jian
声	299656	qing
务	299656	wu
提	299655	di
做	299655	zuo
接	299654	jie
立	299654	wei
必	299653	bi
体	299652	ben
场	299652	chang
件	299651	jian
员	299651	yun
计	299650	ji
管	299649	guan
期	299648	qi
被	299647	pi
市	299647	shi
直	299646	zhi
德	299645	de
资	299644	zi
命	299643	ming
山	299642	shan
金	299641	jin
指	299640	zhi
克	299639	ke
许	299638	xu
统	299637	tong
果	299636	guan
平	299636	pian
区	299636	qu
保	299635	bao
系	299635	ji
至	299634	zhi
队	299633	dui
活	299632	guo
形	299632	xing
社	299631	she
便	299630	bian
空	299629	kong
决	299628	jue
治	299627	zhi
内	299626	rui
展	299626	zhan
马	299625	ma
科	299624	ke
化	299623	huo
司	299623	si
五	299622	wu
基	299621	ji
眼	299620	yan
书	299619	shu
非	299618	fei
则	299617	ze
度	299617	zhai
听	299616	ting
才	299616	zai
白	299615	bai
任	299615	lin
却	299614	que
受	299613	dao
界	299613	jie
那	299613	ne
达	299612	da
光	299611	guang
太	299611	ta
放	299610	fang
强	299609	qiang
儿	299609	ren
感	299608	han
即	299608	ji
像	299607	xiang
难	299606	nan
提	299605	chi
且	299605	qie
权	299604	quan
接	299604	xie
思	299603	si
体	299602	cui
比	299602	pi
王	299602	wang
件	299601	mou
象	299601	xiang
完	299600	wan
解	299600	xie
设	299599	she
期	299598	ji
式	299598	shi
市	299597	fu
色	299597	se
路	299596	lu
记	299595	ji
南	299594	nan
品	299593	pin
住	299592	zhu
告	299591	gao
类	299590	lei
求	299589	qiu
许	299588	hu
据	299588	ju
程	299587	cheng
北	299586	bei
平	299586	bing
区	299586	ou
边	299585	bian
至	299584	die
死	299584	si
张	299583	zhang
该	299582	gai
交	299581	jiao
规	299580	gui
便	299580	pian
万	299579	wan
取	299578	qu
治	299577	chi
拉	299577	la
女	299577	ru
格	299576	ge
望	299575	wang
觉	299574	jue
司	299573	ci
术	299573	shu
领	299572	ling
共	299571	gong
确	299570	que
数	299570	shuo
眼	299570	wen
传	299569	chuan
师	299568	shi
观	299567	guan
清	299566	qing
听	299566	yin
白	299565	bo
今	299565	jin
切	299564	qie
那	299563	nai
院	299563	yuan
让	299562	rang
达	299562	ti
识	299561	shi
候	299560	hou
带	299559	dai
强	299559	jiang
导	299558	dao
争	299557	zheng
运	299556	yun
且	299555	ju
提	299555	shi
笑	299555	xiao
飞	299554	fei
接	299554	sha
风	299553	feng
思	299553	sai
步	299552	bu
改	299551	gai
完	299550	kuan
收	299550	shou
根	299549	gen
干	299548	gan
式	299548	te
色	299547	shai
造	299547	zao
路	299546	luo
言	299546	yan
联	299545	lian
持	299544	chi
南	299544	na
组	299543	zu
每	299542	mei
济	299541	ji
告	299541	ju
车	299540	che
亲	299539	qin
极	299538	ji
林	299537	lin
平	299536	beng
服	299536	fu
快	299535	kuai
办	299534	ban
议	299533	yi
往	299532	wang
元	299531	yuan
英	299530	ying
万	299529	mo
士	299529	shi
证	299528	zheng
近	299527	jin
格	299526	luo
失	299526	shi
转	299525	zhuan
夫	299524	fu
觉	299524	jiao
令	299523	ling
术	299523	zhu
准	299522	zhun
布	299521	bu
始	299520	shi
怎	299519	zen
传	299519	zhuan
呢	299518	ne
存	299517	cun
未	299516	wei
听	299516	yi
远	299515	yuan
叫	299514	jiao
台	299513	tai
单	299512	dan
达	299512	ta
影	299511	ying
具	299510	ju
罗	299509	luo
字	299508	zi
爱	299507	ai
击	299506	ji
且	299505	cu
流	299505	liu
备	299504	bei
接	299504	cha
兵	299503	bing
连	299502	lian
王	299502	yu
调	299501	diao
深	299500	shen
商	299499	shang
算	299498	suan
造	299497	cao
质	299497	zhi
团	299496	tuan
集	299495	ji
百	299494	bai
需	299493	xu
价	299492	jia
告	299491	gu
花	299491	hua
党	299490	dang
车	299490	ju
华	299489	hua
亲	299489	qing
城	299488	cheng
石	299487	shi
级	299486	ji
整	299485	zheng
府	299484	fu
离	299483	li
况	299482	kuang
亚	299481	ya
请	299480	qing
英	299480	yang
技	299479	ji
际	299478	ji
约	299477	yue
格	299476	he
示	299476	shi
失	299476	yi
复	299475	fu
病	299474	bing
息	299473	xi
究	299472	jiu
线	299471	xian
似	299470	shi
官	299469	guan
火	299468	huo
呢	299468	ni
断	299467	duan
精	299466	jing
满	299465	man
切	299464	qi
支	299464	zhi
视	299463	shi
单	299462	chan
消	299462	xiao
越	299461	yue
识	299461	zhi
器	299460	qi
容	299459	rong
照	299458	zhao
须	299457	xu
九	299456	jiu
增	299455	zeng
研	299454	yan
写	299453	xie
称	299452	cheng
企	299451	qi
调	299451	tiao
八	299450	ba
功	299449	gong
干	299448	an
吗	299448	ma
包	299447	bao
片	299446	pian
团	299446	qiu
言	299446	yin
史	299445	shi
百	299444	bo
委	299444	wei
乎	299443	hu
需	299443	nuo
查	299442	cha
价	299442	jie
轻	299441	qing
易	299440	yi
早	299439	zao
曾	299438	ceng
除	299437	chu
石	299437	dan
服	299436	bi
农	299436	nong
找	299435	zhao
装	299434	zhuang
离	299433	chi
广	299433	guang
显	299432	xian
吧	299431	ba
阿	299430	a
李	299429	li
技	299429	qi
标	299428	biao
谈	299427	tan
约	299427	yao
吃	299426	chi
示	299426	qi
图	299425	tu
转	299425	zhuai
念	299424	nian
六	299423	liu
引	299422	yin
共	299421	hong
历	299421	li
首	299420	shou
似	299420	si
医	299419	yi
局	299418	ju
突	299417	tu
精	299416	qing
专	299416	zhuan
费	299415	fei
号	299414	hao
尽	299413	jin
台	299413	yi
另	299412	ling
单	299412	shan
越	299411	huo
周	299411	zhou
较	299410	jiao
容	299409	yong
注	299409	zhu
语	299408	yu
仅	299407	jin
考	299406	kao
落	299405	luo
青	299404	qing
随	299403	sui
称	299402	chen
选	299402	xuan
列	299401	lie
武	299400	wu
红	299399	hong
响	299398	xiang
包	299397	pao
虽	299397	sui
推	299396	tui
势	299395	shi
参	299394	can
百	299394	mo
需	299393	ru
希	299393	xi
古	299392	gu
查	299392	zha
众	299391	zhong
构	299390	gou
房	299389	fang
半	299388	ban
曾	299388	zeng
节	299387	jie
除	299387	zhu
服	299386	bo
土	299386	tu
找	299385	hua
投	299385	tou
某	299384	mou
案	299383	an
广	299383	yan
黑	299382	hei
维	299381	wei
阿	299380	e
革	299380	ge
划	299379	hua
敌	299378	di
致	299377	zhi
陈	299376	chen
吃	299376	qi
示	299376	zhi
律	299375	lv
足	299374	zu
令	299373	lian
六	299373	lu
态	299373	tai
护	299372	hu
七	299371	qi
兴	299370	xing
派	299369	pai
孩	299368	hai
验	299367	yan
责	299366	ze
营	299365	ying
支	299364	qi
星	299364	xing
够	299363	gou
台	299363	si
章	299362	zhang
音	299361	yin
跟	299360	gen
志	299359	zhi
注	299359	zhou
底	299358	di
仅	299357	fu
站	299357	zhan
严	299356	yan
巴	299355	ba
增	299355	ceng
落	299355	la
青	299354	jing
例	299354	li
研	299354	xing
防	299353	fang
族	299352	zu
供	299351	gong
列	299351	li
效	299350	xiao
红	299349	gong
续	299349	xu
施	299348	shi
包	299347	fu
留	299347	liu
讲	299346	jiang
片	299346	pan
型	299345	xing
参	299344	cen
料	299344	liao
需	299343	ruan
终	299343	zhong
查	299342	chai
答	299342	da
紧	299341	jin
众	299341	yin
黄	299340	huang
绝	299339	jue
房	299339	pang
半	299338	pan
奇	299338	qi
察	299337	cha
除	299337	shu
土	299336	du
母	299336	mu
投	299335	dou
京	299335	jing
段	299334	duan
某	299334	mei
广	299333	an
依	299333	yi
批	299332	pi
吧	299331	pa
群	299331	qun
革	299330	ji
项	299330	xiang
故	299329	gu
按	299328	an
敌	299328	hua
河	299327	he
致	299327	zhui
米	299326	mi
围	299325	wei
江	299324	jiang
足	299324	ju
织	299323	zhi
害	299322	hai
斗	299321	dou
双	299320	shuang
境	299319	jing
派	299319	mai
客	299318	ke
纪	299317	ji
采	299316	cai
举	299315	ju
杀	299314	sha
号	299314	xiao
攻	299313	gong
父	299312	fu
苏	299311	su
密	299310	mi
低	299309	di
朝	299308	chao
底	299308	de
仅	299307	nu
友	299307	you
诉	299306	su
落	299305	lao
止	299305	zhi
例	299304	lie
细	299304	xi
愿	299303	yuan
千	299302	qian
族	299302	sou
值	299301	zhi
仍	299300	reng
男	299299	nan
钱	299298	qian
施	299298	yi
破	299297	po
网	299296	wang
热	299295	re
参	299294	shen
助	299294	zhu
倒	299293	dao
古	299292	ku
育	299292	yu
属	299291	shu
坐	299290	zuo
帝	299289	di
奇	299288	ji
限	299288	xian
船	299287	chuan
察	299287	cui
土	299286	cha
脸	299286	lian
职	299285	zhi
速	299284	su
刻	299283	ke
乐	299282	le
否	299281	fou
刚	299280	gang
划	299279	guo
威	299279	wei
毛	299278	mao
状	299277	zhuang
率	299276	lv
甚	299275	shen
独	299274	du
球	299273	qiu
般	299272	ban
害	299272	he
普	299271	pu
怕	299270	pa
派	299269	bai
弹	299269	dan
客	299268	qia
校	299268	xiao
苦	299267	ku
创	299266	chuang
假	299265	jia
久	299264	jiu
错	299263	cuo
承	299262	cheng
印	299261	yin
晚	299260	wan
兰	299259	lan
试	299258	shi
朝	299258	zhao
股	299257	gu
拿	299256	na
脑	299255	nao
预	299254	yu
谁	299253	shui
族	299252	cou
益	299252	yi
阳	299251	yang
若	299250	ruo
哪	299249	na
微	299248	wei
尼	299247	ni
继	299246	ji
送	299245	song
助	299244	chu
急	299244	ji
血	299243	xue
惊	299242	jing
育	299242	zhou
伤	299241	shang
属	299241	zhu
素	299240	su
药	299239	yao
奇	299238	ai
适	299238	shi
限	299238	wen
波	299237	bo
母	299236	wu
夜	299236	ye
省	299235	sheng
初	299234	chu
刻	299233	kei
喜	299233	xi
卫	299232	wei
乐	299232	yue
否	299231	pi
源	299231	yuan
食	299230	shi
险	299229	xian
待	299228	dai
述	299227	shu
陆	299226	lu
率	299226	shuai
习	299225	xi
置	299224	zhi
居	299223	ju
劳	299222	lao
般	299222	pan
财	299221	cai
斗	299221	zhu
怕	299220	bo
环	299220	huan
派	299219	pa
排	299219	pai
弹	299219	tan
福	299218	fu
校	299218	jiao
苦	299217	gu
纳	299217	na
欢	299216	huan
雷	299215	lei
警	299214	jing
获	299213	huo
模	299212	mo
承	299212	zheng
充	299211	chong
印	299211	yi
负	299210	fu
云	299209	yun
停	299208	ting
朝	299208	zhu
木	299207	mu
游	299206	you
龙	299205	long
树	299204	shu
谁	299203	shei
疑	299203	yi
层	299202	ceng
族	299202	zou
冷	299201	leng
若	299200	re
洲	299200	zhou
冲	299199	chong
射	299198	she
略	299197	lve
范	299196	fan
竟	299195	jing
句	299194	ju
室	299193	shi
血	299193	xie
惊	299192	liang
异	299192	yi
育	299192	yo
激	299191	ji
汉	299190	han
村	299189	cun
哈	299188	ha
适	299188	kuo
奇	299188	yi
波	299187	bei
策	299187	ce
演	299186	yan
简	299185	jian
省	299185	xing
卡	299184	ka
罪	299183	zui
判	299182	pan
担	299181	dan
食	299180	si
州	299180	zhou
划	299179	huai
静	299179	jing
退	299178	tui
既	299177	ji
陆	299176	liu
率	299176	lve
衣	299176	yi
您	299175	nin
宗	299174	zong
居	299173	ji
积	299173	ji
余	299172	yu
痛	299171	tong
检	299170	jian
差	299169	cha
富	299168	fu
苦	299167	hu
灵	299167	ling
协	299166	xie
角	299165	jiao
假	299165	jie
占	299164	zhan
配	299163	pei
模	299162	mu
征	299162	zheng
修	299161	xiu
皮	299160	pi
挥	299159	hui
胜	299158	sheng
降	299157	jiang
阶	299156	jie
游	299156	liu
审	299155	shen
沉	299154	chen
坚	299153	jian
疑	299153	ning
善	299152	shan
冷	299151	ling
妈	299151	ma
刘	299150	liu
读	299149	du
哪	299149	ne
啊	299148	a
射	299148	ye
超	299147	chao
免	299146	mian
压	299145	ya
句	299144	gou
银	299144	yin
买	299143	mai
皇	299142	huang
激	299141	jiao
养	299141	yang
伊	299140	yi
怀	299139	huai
执	299138	zhi
波	299137	bi
副	299137	fu
乱	299136	luan
抗	299135	kang
省	299135	xian
犯	299134	fan
卡	299134	qia
喜	299133	chi
追	299133	zhui
帮	299132	bang
宣	299131	xuan
佛	299130	fu
食	299130	yi
岁	299129	sui
航	299128	hang
既	299127	xi
优	299127	you
怪	299126	guai
香	299125	xiang
著	299124	zhu
田	299123	tian
积	299123	zhi
般	299122	bo
铁	299122	tie
余	299122	tu
控	299121	kong
税	299120	shui
排	299119	bai
左	299119	zuo
校	299118	qiao
右	299118	you
份	299117	fen
穿	299116	chuan
角	299115	jue
假	299115	xia
艺	299115	yi
背	299114	bei
阵	299113	zhen
草	299112	cao
脚	299111	jiao
概	299110	gai
恶	299109	e
块	299108	kuai
胜	299108	xing
顿	299107	dun
降	299107	xiang
敢	299106	gan
守	299105	shou
酒	299104	jiu
岛	299103	dao
托	299102	tuo
央	299101	yang
户	299100	hu
读	299099	dou
烈	299099	lie
哪	299099	nuo
洋	299098	yang
射	299098	yi
哥	299097	ge
索	299096	suo
免	299096	wen
胡	299095	hu
款	299094	kuan
靠	299093	kao
评	299092	ping
皇	299092	wang
版	299091	ban
宝	299090	bao
怀	299089	fu
座	299089	zuo
释	299088	shi
景	299087	jing
副	299087	pi
顾	299086	gu
弟	299085	di
抗	299085	gang
登	299084	deng
追	299083	dui
货	299083	huo
互	299082	hu
付	299081	fu
伯	299080	bo
佛	299080	fo
慢	299079	man
欧	299078	ou
换	299077	huan
闻	299076	wen
危	299075	wei
忙	299074	mang
著	299074	zhe
核	299073	he
暗	299072	an
余	299072	xu
姐	299071	jie
介	299070	jie
税	299070	tuo
差	299069	chai
坏	299069	huai
讨	299068	tao
份	299067	bin
丽	299067	li
良	299066	liang
角	299065	lu
序	299065	xu
升	299064	sheng
占	299064	tie
监	299063	jian
临	299062	lin
草	299062	zao
脚	299061	jue
亮	299061	liang
概	299060	gui
露	299060	lu
永	299059	yong
呼	299058	hu
胜	299058	qing
块	299058	yue
顿	299057	du
味	299057	wei
野	299056	ye
架	299055	jia
域	299054	yu
沙	299053	sha
掉	299052	diao
括	299051	kuo
央	299051	ying
舰	299050	jian
哪	299049	nai
鱼	299049	yu
洋	299048	xiang
杂	299048	za
误	299047	wu
免	299046	wan
湾	299046	wan
吉	299045	ji
减	299044	jian
句	299044	qu
款	299044	xin
编	299043	bian
楚	299042	chu
肯	299041	ken
测	299040	ce
败	299039	bai
哈	299038	he
屋	299038	wu
跑	299037	pao
景	299037	ying
梦	299036	meng
散	299035	san
弟	299035	ti
登	299034	de
温	299034	wen
困	299033	kun
追	299033	tui
剑	299032	jian
渐	299031	jian
担	299031	jie
伯	299030	bai
佛	299030	bo
封	299030	feng
救	299029	jiu
贵	299028	gui
枪	299027	qiang
缺	299026	que
楼	299025	lou
县	299024	xian
著	299024	zhuo
核	299023	hu
尚	299023	shang
毫	299022	hao
姐	299021	ju
控	299021	qiang
移	299021	yi
介	299020	ge
娘	299020	niang
税	299020	tui
差	299019	ci
朋	299019	peng
坏	299019	pi
画	299018	hua
班	299017	ban
穿	299016	yuan
智	299016	zhi
假	299015	ge
角	299015	gu
亦	299015	yi
耳	299014	er
恩	299013	en
短	299012	duan
掌	299011	zhang
概	299010	jie
恐	299010	kong
露	299010	lou
恶	299009	wu
遗	299009	yi
固	299008	gu
呼	299008	xiao
味	299007	mei
席	299007	xi
野	299006	shu
松	299006	song
秘	299005	mi
谢	299004	xie
鲁	299003	lu
掉	299002	nuo
遇	299002	yu
括	299001	gua
康	299001	kang
虑	299000	lv
幸	298999	xing
杂	298998	duo
均	298998	jun
超	298997	tiao
销	298997	xiao
钟	298996	zhong
诗	298995	shi
藏	298994	cang
赶	298993	gan
剧	298992	ju
票	298991	piao
损	298990	sun
忽	298989	hu
巨	298988	ju
炮	298987	pao
旧	298986	jiu
端	298985	duan
弟	298985	tui
探	298984	tan
温	298984	yun
湖	298983	hu
录	298982	lu
叶	298981	ye
佛	298980	bi
封	298980	bian
春	298980	chun
伯	298980	mo
乡	298979	xiang
附	298978	fu
吸	298977	xi
缺	298976	kui
予	298976	yu
礼	298975	li
著	298974	chu
港	298974	gang
尚	298973	chang
核	298973	gai
雨	298973	yu
呀	298972	ya
板	298971	ban
移	298971	chi
姐	298971	xu
庭	298970	ting
税	298970	tuan
妇	298969	fu
坏	298969	pei
归	298968	gui
睛	298967	jing
饭	298966	fan
额	298965	e
含	298964	han
耳	298964	reng
顺	298963	shun
输	298962	shu
摇	298961	yao
招	298960	zhao
婚	298959	hun
遗	298959	wei
脱	298958	tuo
呼	298958	xu
补	298957	bu
谓	298956	wei
秘	298955	bi
督	298955	du
毒	298954	du
沙	298953	suo
油	298953	you
疗	298952	liao
遇	298952	yong
旅	298951	lv
虑	298950	bi
泽	298950	ze
材	298949	cai
哪	298949	nie
幸	298949	nie
灭	298948	mie
均	298948	yun
逐	298947	zhu
莫	298946	mo
笔	298945	bi
亡	298944	wang
藏	298944	zang
赶	298943	qian
鲜	298943	xian
词	298942	ci
圣	298941	sheng
择	298940	ze
寻	298939	xun
厂	298938	chang
巨	298938	qu
哈	298938	ta
炮	298937	bao
跑	298937	bo
睡	298937	shui
博	298936	bo
勒	298935	lei
探	298934	xian
烟	298934	yan
授	298933	shou
诺	298932	nuo
伦	298931	lun
叶	298931	xie
岸	298930	an
伯	298930	ba
奥	298929	ao
附	298928	bu
唐	298928	tang
卖	298927	mai
俄	298926	e
炸	298925	zha
港	298924	hong
载	298924	zai
著	298924	zhao
核	298923	kai
洛	298923	luo
健	298922	jian
堂	298921	tang
姐	298921	zu
旁	298920	pang
差	298919	cuo
宫	298919	gong
喝	298918	he
借	298917	jie
君	298916	jun
禁	298915	jin
阴	298914	yin
园	298913	yuan
谋	298912	mou
宋	298911	song
避	298910	bi
招	298910	qiao
抓	298909	zhua
呼	298908	he
荣	298908	rong
脱	298908	tui
姑	298907	gu
孙	298906	sun
秘	298905	bie
逃	298905	tao
毒	298904	dai
牙	298904	ya
束	298903	shu
遇	298902	ou
跳	298902	tiao
顶	298901	ding
玉	298900	yu
哪	298899	nei
镇	298899	zhen
啊	298898	e
雪	298898	xue
逐	298897	di
午	298897	wu
练	298896	lian
莫	298896	mu
迫	298895	po
亡	298894	wu
爷	298894	ye
篇	298893	pian
肉	298892	rou
圣	298891	ku
嘴	298891	zui
馆	298890	guan
择	298890	zhai
遍	298889	bian
寻	298889	xin
凡	298888	fan
厂	298888	han
哈	298888	sha
础	298887	chu
洞	298886	dong
卷	298885	juan
勒	298885	le
坦	298884	tan
烟	298884	yin
牛	298883	niu
宁	298882	ning
纸	298881	zhi
诸	298880	zhu
训	298879	xun
奥	298879	yu
私	298878	si
庄	298877	zhuang
予	298876	zhu
祖	298876	zu
丝	298875	si
翻	298874	fan
暴	298873	bao
森	298872	sen
呀	298872	xia
塔	298871	ta
默	298870	mo
旁	298870	peng
差	298869	jie
握	298869	wo
戏	298868	xi
隐	298867	yin
熟	298866	shu
骨	298865	gu
访	298864	fang
弱	298863	ruo
园	298863	wan
蒙	298862	meng
歌	298861	ge
店	298860	dian
招	298860	shao
鬼	298859	gui
软	298858	ruan
呼	298858	xia
典	298857	dian
欲	298856	yu
萨	298855	sa
伙	298854	huo
遭	298853	zao
跳	298852	diao
盘	298852	pan
爸	298851	ba
扩	298850	kuo
盖	298849	gai
弄	298848	nong
雄	298847	xiong
逐	298847	zhou
稳	298846	wen
迫	298845	pai
忘	298845	wang
亿	298844	yi
刺	298843	ci
肉	298842	ru
拥	298842	yong
徒	298841	tu
姆	298840	mu
杨	298839	yang
齐	298838	qi
厂	298838	yan
赛	298837	sai
趣	298836	qu
洞	298836	tong
曲	298835	qu
刀	298834	dao
床	298833	chuang
迎	298832	ying
冰	298831	bing
虚	298830	xu
玩	298829	wan
奥	298829	you
析	298828	xi
窗	298827	chuang
庄	298827	peng
祖	298826	jie
醒	298826	xing
妻	298825	qi
透	298824	tou
购	298823	gou
暴	298823	pu
替	298822	ti
塔	298821	da
塞	298821	sai
旁	298820	beng
努	298820	nu
握	298819	ou
休	298819	xiu
戏	298818	hu
虎	298818	hu
喝	298818	ye
扬	298817	yang
熟	298816	shou
途	298816	tu
侵	298815	qin
刑	298814	xing
绿	298813	lv
兄	298812	xiong
迅	298811	xun
套	298810	tao
贸	298809	mao
毕	298808	bi
典	298807	tian
唯	298807	wei
谷	298806	gu
轮	298805	lun
库	298804	ku
迹	298803	ji
跳	298802	tao
尤	298802	you
竞	298801	jing
街	298800	jie
促	298799	cu
盖	298799	ge
弄	298798	long
延	298798	yan
逐	298797	tun
震	298797	zhen
弃	298796	qi
甲	298795	jia
伟	298794	wei
麻	298793	ma
川	298792	chuan
申	298791	shen
缓	298790	huan
潜	298789	qian
厂	298788	an
齐	298788	ji
闪	298788	shan
售	298787	shou
趣	298786	cu
灯	298786	deng
卷	298785	quan
针	298785	zhen
刀	298784	diao
哲	298784	zhe
络	298783	luo
抵	298782	di
宁	298782	zhu
冰	298781	ning
朱	298781	zhu
埃	298780	ai
抱	298779	bao
鼓	298778	gu
析	298778	si
窗	298777	cong
植	298777	zhi
醒	298776	cheng
纯	298776	chun
夏	298775	xia
忍	298774	ren
透	298774	shu
暴	298773	bo
页	298773	ye
杰	298772	jie
筑	298771	zhu
旁	298770	bang
折	298770	zhe
休	298769	xu
郑	298769	zheng
贝	298768	bei
喝	298768	kai
尊	298767	zun
吴	298766	wu
秀	298765	xiu
混	298764	hun
臣	298763	chen
绿	298763	lu
兄	298762	kuang
雅	298762	ya
振	298761	zhen
染	298760	ran
盛	298759	sheng
怒	298758	nu
舞	298757	wu
谷	298756	lu
圆	298756	yuan
搞	298755	gao
狂	298754	kuang
措	298753	cuo
姓	298752	xing
残	298751	can
秋	298750	qiu
促	298749	chuo
